fid,observationid,categoryid,notes,confidence,userid,created_date,updated_date,huc8,hand,distance,twi,slope
1,1,2,,,,,,17060304,3.704660416,77.27414703,6.037023067,2.390914202
2,2,1,,,,,,17060304,0,0,-1,0.220332026
3,3,8,,,,,,17060304,209.2574463,229.7715302,6.679239273,28.43832779
4,4,3,,,,,,17060304,8.496788979,61.53595352,9.622657776,1.881605983
5,5,6,,,,,,17060304,4.293079853,8.533501625,5.354964733,23.45673561
6,6,1,,,,,,17060304,0,0,-1,0.030378086
7,7,1,,,,,,17060304,0,0,-1,0.253837913
8,8,3,,,,,,17060304,7.000254154,66.64877319,9.111940384,1.442962527
9,9,1,,,,,,17060304,0,0,-1,0.079527207
10,10,1,,,,,,10090102,0,0,-1,0.34272483
11,11,1,,,,,,10090102,0,0,-1,0.128294498
12,12,1,,,,,,10090102,0,0,7.489773273,1.723974705
13,13,1,,,,,,10090102,0,0,13.16002083,0.579519689
14,14,1,,,,,,10090102,0,0,14.4972105,0.513880551
15,15,2,,,,,,10090102,0,0,11.20472431,0.803846061
16,16,2,,,,,,10090102,0,0,-1,0.139761984
17,17,10,,,,,,10090102,14.25519943,224.0910034,8.067952156,2.68180728
18,18,10,,,,,,10090102,13.7052536,246.7987213,7.065039158,3.082624197
19,19,10,,,,,,10090102,23.88032913,553.2921753,8.021935463,1.369153023
20,20,10,,,,,,10090102,22.33182526,320.8864746,6.309308529,5.996946335
21,21,5,,,,,,10090102,1.687101603,195.1876526,9.13492775,0.28496933
22,22,5,,,,,,10090102,5.847147942,332.2853088,9.625387192,0.761319876
23,23,3,,,,,,10090102,1.59584415,75.51721954,10.4275589,1.449115992
24,24,5,,,,,,10090102,4.092035294,133.4968567,10.10852146,0.762356997
25,25,3,,,,,,10090102,1.563424706,82.05200958,11.23959351,0.396929085
26,26,10,,,,,,10090102,16.69549751,183.473877,5.093242645,10.3223772
27,27,1,,,,,,10090102,0,0,-1,0
28,28,1,,,,,,10090102,0,0,-1,0
29,29,4,,,,,,10090102,0.11218264,25.17240906,-1,0
30,30,3,,,,,,10090102,0,19.90053558,-1,0
31,31,5,,,,,,10090102,0,59.70160675,-1,0
32,32,5,,,,,,10090102,3.164284468,124.5970688,9.697094917,0.509436786
33,33,5,,,,,,10090102,1.912429094,107.5365753,-1,0.400900751
34,34,5,,,,,,10090102,4.053145885,214.3353271,9.587863922,0.85504353
35,35,10,,,,,,10090102,21.79739189,748.4295044,7.021673679,2.772525787
36,36,10,,,,,,10090102,25.00503159,402.9551086,7.411267757,1.924233913
37,37,10,,,,,,10090102,37.73090363,350.611084,3.807760954,3.364065409
38,38,1,,,,,,10090102,0,0,12.63215256,0.444308192
39,39,1,,,,,,10090102,0,0,8.570578575,0.657694638
40,40,4,,,,,,10090102,0,0,9.162278175,1.242254734
41,41,5,,,,,,10090102,0.306546181,108.635788,9.122760773,0.17345804
42,42,5,,,,,,10090102,0.57421875,44.49895096,13.52916908,0.395156473
43,43,1,,,,,,10090102,0,0,8.349515915,0.065789133
44,44,4,,,,,,10090102,0,0,9.973197937,1.273924708
45,45,10,,,,,,10090102,12.64641666,71.19831848,6.075699806,6.564245224
46,46,1,,,,,,10090102,0,0,6.603044033,7.73425436
47,47,1,,,,,,10090102,0,0,15.60710812,0.001400049
48,48,1,,,,,,10090102,0,0,12.97791767,0.032074209
49,49,2,,,,,,10090102,0.671665549,25.17240906,7.59112215,0.362415493
50,50,1,,,,,,10090102,0,0,9.169974327,0.367084235
51,51,4,,,,,,10090102,0.552504122,157.4533691,10.69525719,0.083843514
52,52,4,,,,,,10090102,1.516188383,232.078125,12.40913773,0.349521458
53,53,5,,,,,,10090102,2.707594872,308.9393921,10.45135403,0.446037799
54,54,1,,,,,,10090102,0,0,-1,3.811459064
55,55,1,,,,,,10090102,0,0,13.07003021,4.018420696
56,56,3,,,,,,10090102,0.141723633,17.79957962,-1,0.352079213
57,57,4,,,,,,10090102,1.744507909,99.50267792,10.23673916,0.354639262
58,58,5,,,,,,10090102,2.093605042,191.0866089,9.416492462,0.196402177
59,59,5,,,,,,10090102,2.556987047,127.4256058,9.216291428,0.080851488
60,60,5,,,,,,10090102,3.555084229,176.2068634,10.37776661,0.272102118
61,61,2,,,,,,18090103,0.665889025,19.06372643,-1,0.691114426
62,62,2,,,,,,18090103,1.042472243,9.531863213,-1,6.173361301
63,63,2,,,,,,18090103,1.889371634,19.06372643,-1,6.200721741
64,64,5,,,,,,18090103,0.922321796,9.531863213,-1,2.707318544
65,65,5,,,,,,18090103,3.365427971,13.48009014,-1,1.850064158
66,66,2,,,,,,18090103,1.78832984,19.06372643,7.735676765,3.213110447
67,67,2,,,,,,18090103,0,0,7.220736504,3.729051828
68,68,1,,,,,,18090103,0.332044065,9.531863213,-1,2.267303467
69,69,1,,,,,,18090103,0.477050781,9.531863213,-1,2.730516911
70,70,1,,,,,,18090103,0,0,-1,4.556493759
71,71,10,,,,,,18090103,21.21018982,72.59250641,-1,7.780160427
72,72,10,,,,,,18090103,15.37133408,76.2549057,6.389475822,12.01187229
73,73,10,,,,,,18090103,11.87124729,48.60315704,6.094927788,9.941721916
74,74,10,,,,,,18090103,16.0998764,129.6473541,-1,6.421280384
75,75,10,,,,,,18090103,10.53266716,67.40045166,-1,7.235940933
76,76,1,,,,,,18090103,1.854250193,9.531863213,-1,3.566805124
77,77,4,,,,,,18090103,2.433595896,26.96018028,-1,3.844880342
78,78,2,,,,,,18030002,0.425811708,9.950611115,11.17892361,1.875742555
79,79,1,,,,,,18030002,1.25320363,9.950611115,6.186348915,7.565762997
80,80,1,,,,,,18030002,0,0,17.10062981,0.781486988
81,81,10,,,,,,18030002,11.30358696,49.75305557,4.086863041,11.57643604
82,82,10,,,,,,18030002,8.502671242,44.50048447,7.34097147,2.103268862
83,83,2,,,,,,18030002,1.49254024,22.25024223,10.1137104,2.535602093
84,84,2,,,,,,18030002,0,0,9.776806831,3.44010067
85,85,2,,,,,,18030002,0,0,9.86961937,1.302054524
86,86,2,,,,,,18030002,4.014493942,9.950611115,12.6742115,1.344132781
87,87,4,,,,,,18030002,1.737211347,44.50048447,9.081250191,0.966230571
88,88,4,,,,,,18030002,0.940641165,28.14457512,10.28091145,1.391378045
89,89,1,,,,,,18030002,0,0,17.0257473,2.509301662
90,90,10,,,,,,18030002,0.738805175,19.90122223,7.34668684,4.609491825
91,91,10,,,,,,18030002,2.22384429,19.90122223,4.530359745,13.42778111
92,92,1,,,,,,18030002,0.185787484,9.950611115,8.207209587,2.141508818
93,93,3,,,,,,18030002,0,0,18.43721199,0.186739787
94,94,3,,,,,,18030002,0,0,9.293112755,1.507458329
95,95,2,,,,,,18030002,0,0,11.6135807,1.04873991
96,96,1,,,,,,18030002,0.132814124,9.950611115,9.560659409,1.044172406
97,97,1,,,,,,18030002,0,0,10.08730602,0.874519289
98,98,8,,,,,,18030002,1.257169485,39.80244446,9.245910645,2.008675575
99,99,8,,,,,,18030002,2.54030776,35.87743759,7.74553442,5.254945278
100,100,8,,,,,,18030002,1.439442277,39.80244446,9.0335989,2.649090767
101,101,8,,,,,,18030002,0.299775749,9.950611115,6.875658989,6.029871941
102,102,8,,,,,,18030002,0.892096639,19.90122223,6.676861286,3.668032885
103,103,10,,,,,,18030002,16.99987984,163.2021637,7.444405079,7.187508106
104,104,8,,,,,,18030002,4.461547375,80.22438812,5.990566254,2.206846714
105,105,8,,,,,,18030002,15.3351984,141.4247437,5.840915203,3.256830931
106,106,10,,,,,,18030002,15.91439629,151.5632019,7.123078823,0.867008924
107,107,2,,,,,,18030002,0.612091899,49.75305557,8.84504509,1.639433861
108,108,2,,,,,,18030002,1.269562602,50.73835754,8.478001595,2.1002388
109,109,4,,,,,,18030002,0.434435815,14.07228756,8.109238625,2.163065195
110,110,5,,,,,,18030002,0.514160156,56.28915024,8.947058678,1.810281634
111,111,1,,,,,,18030002,0,0,13.43675613,3.512473583
112,112,2,,,,,,18030002,1.285979509,9.950611115,9.326100349,3.754068136
113,113,1,,,,,,18030002,0.0078125,9.950611115,11.26111889,1.180735111
114,114,2,,,,,,18030002,0,0,7.427243233,1.34353745
115,115,10,,,,,,18030002,28.91256905,229.7276917,6.399486065,0.511407912
116,116,10,,,,,,18030002,39.80191422,207.7748566,7.015058041,7.761017799
117,117,10,,,,,,18030002,60.85211182,267.9283752,5.380908012,14.59078026
118,118,10,,,,,,18030002,88.37738037,342.3935547,6.626715183,17.42470741
119,119,8,,,,,,18030002,4.498618126,133.8717804,8.952586174,4.917920589
120,120,5,,,,,,18030002,4.799561024,49.75305557,6.482089043,2.068823338
121,121,5,,,,,,18030002,2.635742188,59.70366669,-1,0
122,122,5,,,,,,18030002,1.541992188,75.78160095,8.692511559,2.254339695
123,123,1,,0.9,,,,18030002,0,0,8.747454643,0.691443622
124,124,10,,1,,,,18030002,6.58203125,170.3270264,8.097636223,3.609604359
125,125,1,,,,,,18030002,0,0,8.462692261,2.424474716
126,126,2,,,,,,18030002,0,0,8.931426048,1.951734543
127,127,2,,,,,,18030002,0.27526629,9.950611115,-1,0.977360964
128,128,2,,,,,,18030002,0,0,8.274700165,1.760290027
