observationid,HUC8,categoryid,confidence,userid,notes,created_date,updated_date,category_name,HAND,ChannelDist,TWI,Slope
1,17060304,2,,2,,2021/05/20 19:40:31,2021/05/20 19:40:31,Highly Likely Active Floodplain,3.704660415649414,77.2741470336914,6.037023067474365,2.39091420173645
2,17060304,1,,2,,2021/05/20 19:40:31,2021/05/20 19:40:31,Estimated Active Channel,0.0,0.0,-1.0,0.22033202648162842
3,17060304,8,,2,,2021/05/20 19:40:31,2021/05/20 19:40:31,Very Unlikely Valley Bottom Extent,209.2574462890625,229.7715301513672,6.679239273071289,28.43832778930664
4,17060304,3,,2,,2021/05/20 19:40:31,2021/05/20 19:40:31,Likely Active Floodplain,8.49678897857666,61.535953521728516,9.622657775878906,1.8816059827804565
5,17060304,6,,2,,2021/05/20 19:40:31,2021/05/20 19:40:31,Plausible Valley Bottom Extent,4.293079853057861,8.533501625061035,5.354964733123779,23.456735610961914
6,17060304,1,,2,,2021/05/20 19:48:53,2021/05/20 19:48:53,Estimated Active Channel,0.0,0.0,-1.0,0.030378086492419243
7,17060304,1,,2,,2021/05/20 19:48:53,2021/05/20 19:48:53,Estimated Active Channel,0.0,0.0,-1.0,0.253837913274765
8,17060304,3,,2,,2021/05/20 19:48:53,2021/05/20 19:48:53,Likely Active Floodplain,7.000254154205322,66.64877319335938,9.111940383911133,1.4429625272750854
9,17060304,1,,1,,2021/06/17 21:23:51,2021/06/17 21:23:51,Estimated Active Channel,0.0,0.0,-1.0,0.07952720671892166
10,10090102,1,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Estimated Active Channel,0.0,0.0,-1.0,0.34272482991218567
11,10090102,1,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Estimated Active Channel,0.0,0.0,-1.0,0.12829449772834778
12,10090102,1,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Estimated Active Channel,0.0,0.0,7.489773273468018,1.7239747047424316
13,10090102,1,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Estimated Active Channel,0.0,0.0,13.16002082824707,0.5795196890830994
14,10090102,1,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Estimated Active Channel,0.0,0.0,14.497210502624512,0.5138805508613586
15,10090102,2,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Highly Likely Active Floodplain,0.0,0.0,11.204724311828613,0.8038460612297058
16,10090102,2,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Highly Likely Active Floodplain,0.0,0.0,-1.0,0.13976198434829712
17,10090102,10,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Upland (non-valley bottom),14.255199432373047,224.09100341796875,8.067952156066895,2.681807279586792
18,10090102,10,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Upland (non-valley bottom),13.705253601074219,246.79872131347656,7.065039157867432,3.0826241970062256
19,10090102,10,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Upland (non-valley bottom),23.880329132080078,553.2921752929688,8.02193546295166,1.3691530227661133
20,10090102,10,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Upland (non-valley bottom),22.331825256347656,320.886474609375,6.3093085289001465,5.996946334838867
21,10090102,5,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Possible Inactive Floodplain,1.6871016025543213,195.18765258789062,9.134927749633789,0.2849693298339844
22,10090102,5,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Possible Inactive Floodplain,5.8471479415893555,332.2853088378906,9.625387191772461,0.7613198757171631
23,10090102,3,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Likely Active Floodplain,1.5958441495895386,75.51721954345703,10.427558898925781,1.4491159915924072
24,10090102,5,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Possible Inactive Floodplain,4.092035293579102,133.49685668945312,10.108521461486816,0.7623569965362549
25,10090102,3,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Likely Active Floodplain,1.5634247064590454,82.05200958251953,11.239593505859375,0.3969290852546692
26,10090102,10,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Upland (non-valley bottom),16.695497512817383,183.473876953125,5.093242645263672,10.32237720489502
27,10090102,1,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Estimated Active Channel,0.0,0.0,-1.0,0.0
28,10090102,1,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Estimated Active Channel,0.0,0.0,-1.0,0.0
29,10090102,4,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Possible Active Floodplain,0.11218263953924179,25.172409057617188,-1.0,0.0
30,10090102,3,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Likely Active Floodplain,0.0,19.900535583496094,-1.0,0.0
31,10090102,5,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Possible Inactive Floodplain,0.0,59.70160675048828,-1.0,0.0
32,10090102,5,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Possible Inactive Floodplain,3.1642844676971436,124.5970687866211,9.697094917297363,0.5094367861747742
33,10090102,5,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Possible Inactive Floodplain,1.9124290943145752,107.53657531738281,-1.0,0.4009007513523102
34,10090102,5,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Possible Inactive Floodplain,4.053145885467529,214.3353271484375,9.58786392211914,0.8550435304641724
35,10090102,10,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Upland (non-valley bottom),21.797391891479492,748.4295043945312,7.021673679351807,2.7725257873535156
36,10090102,10,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Upland (non-valley bottom),25.00503158569336,402.9551086425781,7.4112677574157715,1.9242339134216309
37,10090102,10,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Upland (non-valley bottom),37.73090362548828,350.611083984375,3.8077609539031982,3.364065408706665
38,10090102,1,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Estimated Active Channel,0.0,0.0,12.632152557373047,0.44430819153785706
39,10090102,1,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Estimated Active Channel,0.0,0.0,8.570578575134277,0.6576946377754211
40,10090102,4,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Possible Active Floodplain,0.0,0.0,9.162278175354004,1.2422547340393066
41,10090102,5,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Possible Inactive Floodplain,0.3065461814403534,108.63578796386719,9.122760772705078,0.1734580397605896
42,10090102,5,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Possible Inactive Floodplain,0.57421875,44.49895095825195,13.529169082641602,0.39515647292137146
43,10090102,1,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Estimated Active Channel,0.0,0.0,8.349515914916992,0.065789133310318
44,10090102,4,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Possible Active Floodplain,0.0,0.0,9.973197937011719,1.273924708366394
45,10090102,10,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Upland (non-valley bottom),12.646416664123535,71.19831848144531,6.075699806213379,6.564245223999023
46,10090102,1,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Estimated Active Channel,0.0,0.0,6.603044033050537,7.734254360198975
47,10090102,1,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Estimated Active Channel,0.0,0.0,15.607108116149902,0.001400049077346921
48,10090102,1,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Estimated Active Channel,0.0,0.0,12.977917671203613,0.0320742093026638
49,10090102,2,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Highly Likely Active Floodplain,0.6716655492782593,25.172409057617188,7.591122150421143,0.36241549253463745
50,10090102,1,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Estimated Active Channel,0.0,0.0,9.169974327087402,0.36708423495292664
51,10090102,4,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Possible Active Floodplain,0.5525041222572327,157.453369140625,10.695257186889648,0.08384351432323456
52,10090102,4,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Possible Active Floodplain,1.516188383102417,232.078125,12.409137725830078,0.3495214581489563
53,10090102,5,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Possible Inactive Floodplain,2.707594871520996,308.93939208984375,10.451354026794434,0.44603779911994934
54,10090102,1,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Estimated Active Channel,0.0,0.0,-1.0,3.8114590644836426
55,10090102,1,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Estimated Active Channel,0.0,0.0,13.070030212402344,4.018420696258545
56,10090102,3,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Likely Active Floodplain,0.1417236328125,17.799579620361328,-1.0,0.35207921266555786
57,10090102,4,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Possible Active Floodplain,1.744507908821106,99.50267791748047,10.236739158630371,0.3546392619609833
58,10090102,5,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Possible Inactive Floodplain,2.0936050415039062,191.08660888671875,9.416492462158203,0.1964021772146225
59,10090102,5,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Possible Inactive Floodplain,2.5569870471954346,127.42560577392578,9.216291427612305,0.0808514878153801
60,10090102,5,,1,,2021/06/17 21:45:42,2021/06/17 21:45:42,Possible Inactive Floodplain,3.555084228515625,176.2068634033203,10.377766609191895,0.27210211753845215
61,18090103,2,,1,,2021/06/17 21:55:43,2021/06/17 21:55:43,Highly Likely Active Floodplain,0.6658890247344971,19.0637264251709,-1.0,0.6911144256591797
62,18090103,2,,1,,2021/06/17 21:55:43,2021/06/17 21:55:43,Highly Likely Active Floodplain,1.042472243309021,9.53186321258545,-1.0,6.173361301422119
63,18090103,2,,1,,2021/06/17 21:55:43,2021/06/17 21:55:43,Highly Likely Active Floodplain,1.889371633529663,19.0637264251709,-1.0,6.200721740722656
64,18090103,5,,1,,2021/06/17 21:55:43,2021/06/17 21:55:43,Possible Inactive Floodplain,0.9223217964172363,9.53186321258545,-1.0,2.7073185443878174
65,18090103,5,,1,,2021/06/17 21:55:43,2021/06/17 21:55:43,Possible Inactive Floodplain,3.3654279708862305,13.480090141296387,-1.0,1.8500641584396362
66,18090103,2,,1,,2021/06/17 21:55:43,2021/06/17 21:55:43,Highly Likely Active Floodplain,1.788329839706421,19.0637264251709,7.7356767654418945,3.2131104469299316
67,18090103,2,,1,,2021/06/17 21:55:43,2021/06/17 21:55:43,Highly Likely Active Floodplain,0.0,0.0,7.220736503601074,3.7290518283843994
68,18090103,1,,1,,2021/06/17 21:55:43,2021/06/17 21:55:43,Estimated Active Channel,0.3320440649986267,9.53186321258545,-1.0,2.267303466796875
69,18090103,1,,1,,2021/06/17 21:55:43,2021/06/17 21:55:43,Estimated Active Channel,0.47705078125,9.53186321258545,-1.0,2.7305169105529785
70,18090103,1,,1,,2021/06/17 21:55:43,2021/06/17 21:55:43,Estimated Active Channel,0.0,0.0,-1.0,4.556493759155273
71,18090103,10,,1,,2021/06/17 21:55:43,2021/06/17 21:55:43,Upland (non-valley bottom),21.210189819335938,72.5925064086914,-1.0,7.780160427093506
72,18090103,10,,1,,2021/06/17 21:55:43,2021/06/17 21:55:43,Upland (non-valley bottom),15.371334075927734,76.2549057006836,6.3894758224487305,12.011872291564941
73,18090103,10,,1,,2021/06/17 21:55:43,2021/06/17 21:55:43,Upland (non-valley bottom),11.871247291564941,48.60315704345703,6.094927787780762,9.94172191619873
74,18090103,10,,1,,2021/06/17 21:55:43,2021/06/17 21:55:43,Upland (non-valley bottom),16.099876403808594,129.64735412597656,-1.0,6.421280384063721
75,18090103,10,,1,,2021/06/17 21:55:43,2021/06/17 21:55:43,Upland (non-valley bottom),10.53266716003418,67.40045166015625,-1.0,7.235940933227539
76,18090103,1,,1,,2021/06/17 21:55:43,2021/06/17 21:55:43,Estimated Active Channel,1.854250192642212,9.53186321258545,-1.0,3.566805124282837
77,18090103,4,,1,,2021/06/17 21:55:43,2021/06/17 21:55:43,Possible Active Floodplain,2.433595895767212,26.960180282592773,-1.0,3.8448803424835205
78,18030002,2,,1,,2021/06/17 21:55:43,2021/06/17 21:55:43,Highly Likely Active Floodplain,0.4258117079734802,9.950611114501953,11.178923606872559,1.8757425546646118
79,18030002,1,,1,,2021/06/17 21:55:43,2021/06/17 21:55:43,Estimated Active Channel,1.2532036304473877,9.950611114501953,6.186348915100098,7.565762996673584
80,18030002,1,,1,,2021/06/17 21:55:43,2021/06/17 21:55:43,Estimated Active Channel,0.0,0.0,17.100629806518555,0.781486988067627
