observationid,HUC8,categoryid,confidence,userid,notes,created_date,updated_date,category_name,StreamOrder,DrainageAreaSqkm,InputZone,HAND,ChannelDist,TWI,Slope
1,17060304,2,,2,,5/20/2021 19:40,5/20/2021 19:40,Highly Likely Active Floodplain,7,8461.477799,Large,0,77.27414703,6.037023067,2.390914202
2,17060304,1,,2,,5/20/2021 19:40,5/20/2021 19:40,Estimated Active Channel,7,8459.337799,Large,0,0,-1,0.220332026
6,17060304,1,,2,,5/20/2021 19:48,5/20/2021 19:48,Estimated Active Channel,7,8458.409099,Large,0,0,-1,0.030378086
7,17060304,1,,2,,5/20/2021 19:48,5/20/2021 19:48,Estimated Active Channel,7,8458.409099,Large,0,0,-1,0.253837913
8,17060304,3,,2,,5/20/2021 19:48,5/20/2021 19:48,Likely Active Floodplain,7,8458.409099,Large,0,66.64877319,9.111940384,1.442962527
9,17060304,1,,1,,6/17/2021 21:23,6/17/2021 21:23,Estimated Active Channel,7,8444.957899,Large,0,0,-1,0.079527207
10,10090102,1,,1,,6/17/2021 21:45,6/17/2021 21:45,Estimated Active Channel,5,1724.467399,Large,0,0,-1,0.34272483
11,10090102,1,,1,,6/17/2021 21:45,6/17/2021 21:45,Estimated Active Channel,5,1724.467399,Large,0,0,-1,0.128294498
12,10090102,1,,1,,6/17/2021 21:45,6/17/2021 21:45,Estimated Active Channel,5,1724.467399,Large,0,0,7.489773273,1.723974705
13,10090102,1,,1,,6/17/2021 21:45,6/17/2021 21:45,Estimated Active Channel,5,1724.467399,Large,0,0,13.16002083,0.579519689
14,10090102,1,,1,,6/17/2021 21:45,6/17/2021 21:45,Estimated Active Channel,5,1724.467399,Large,0,0,14.4972105,0.513880551
15,10090102,2,,1,,6/17/2021 21:45,6/17/2021 21:45,Highly Likely Active Floodplain,5,1724.467399,Large,0,0,11.20472431,0.803846061
16,10090102,2,,1,,6/17/2021 21:45,6/17/2021 21:45,Highly Likely Active Floodplain,5,1724.467399,Large,0,0,-1,0.139761984
17,10090102,10,,1,,6/17/2021 21:45,6/17/2021 21:45,Upland (non-valley bottom),5,1724.467399,Large,14.25519943,224.0910034,8.067952156,2.68180728
18,10090102,10,,1,,6/17/2021 21:45,6/17/2021 21:45,Upland (non-valley bottom),5,1724.467399,Large,13.7052536,246.7987213,7.065039158,3.082624197
19,10090102,10,,1,,6/17/2021 21:45,6/17/2021 21:45,Upland (non-valley bottom),5,1717.475099,Large,23.88032913,553.2921753,8.021935463,1.369153023
21,10090102,5,,1,,6/17/2021 21:45,6/17/2021 21:45,Possible Inactive Floodplain,5,1724.467399,Large,0,195.1876526,9.13492775,0.28496933
22,10090102,5,,1,,6/17/2021 21:45,6/17/2021 21:45,Possible Inactive Floodplain,5,1724.467399,Large,0,332.2853088,9.625387192,0.761319876
23,10090102,3,,1,,6/17/2021 21:45,6/17/2021 21:45,Likely Active Floodplain,5,1724.467399,Large,0,75.51721954,10.4275589,1.449115992
24,10090102,5,,1,,6/17/2021 21:45,6/17/2021 21:45,Possible Inactive Floodplain,5,1724.467399,Large,0,133.4968567,10.10852146,0.762356997
25,10090102,3,,1,,6/17/2021 21:45,6/17/2021 21:45,Likely Active Floodplain,5,1724.467399,Large,0,82.05200958,11.23959351,0.396929085
26,10090102,10,,1,,6/17/2021 21:45,6/17/2021 21:45,Upland (non-valley bottom),5,1717.475099,Large,16.69549751,183.473877,5.093242645,10.3223772
27,10090102,1,,1,,6/17/2021 21:45,6/17/2021 21:45,Estimated Active Channel,5,1597.274799,Large,0,0,-1,0
28,10090102,1,,1,,6/17/2021 21:45,6/17/2021 21:45,Estimated Active Channel,5,1597.274799,Large,0,0,-1,0
29,10090102,4,,1,,6/17/2021 21:45,6/17/2021 21:45,Possible Active Floodplain,5,1597.274799,Large,0,25.17240906,-1,0
30,10090102,3,,1,,6/17/2021 21:45,6/17/2021 21:45,Likely Active Floodplain,5,1597.274799,Large,0,19.90053558,-1,0
